candidata,ofensa,ofensivo,canddef
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Meoooooodeosss 🤦🏼‍♀️... que ridícula 🙈🙈 https://t.co/7OL9wFs2mc,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@emiliomoreno Tomô?! @JanainaDoBrasil 
Do Brasil vc só tem o nome grafado na vergonha da história.",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Começa a chorar agora, por favor.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil @Rubar2711 Hahahahhahaha, qual é a piadista ai: Rute ou Raquel? Vc está tão desmoralizada que aceitou ter 2 personalidades.",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Vc vai ser eleita ao ostracismo sua doida mal amada,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@CapitulinoMr @Jefeslipknot_ @PoeiraParda @aamandapbaptis @brsalles @JanainaDoBrasil Como que vai ser estatal se o Estado é laico? Que pergunta idiota, bicho.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Lógico, vcs devem compartilhar a mesma tarja preta!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Vc consegue desagradar a todos os lados, os esquerdistas, direitistas e até isentões... Ngm sabe de que lado vc está",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Cala boca ,Magda! Tá fazendo campanha pro PT e pra corrupção?",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Os dois lados foram golpes de estados Branco.
Os dois merecem o impeachment com prisões, após eleições...
Não resta dúvida..
Maior genocidio constitucional leva corruptos políticos ao poder... https://t.co/BCAFLerR6C",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Pega a doida.,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Pelamordedeus!!!. Vc virou uma versao humana daquela retardada da Hasselmann. Se perdeu no caminho, nao teve orientacao correta, e nao sabe o que fazer. Mas nao é uma idiota mentecapta como a outra. Mas está perdida. Acabou quando propôs impeachman do Bolsonaro. Ali, se foi.",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@lulinhalivreja @JanainaDoBrasil Agora que você avisou ei vou lá botar outra vez nela para ver se ela faça exatamente isto.
Mas o problema do Lula não será ela e sim ele mesmo, sem condições e capacidade moral, intelectual de se eleger.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Essa peste não ganhou em primeiro turno nem quando não sabíamos que saqueava o país, imagina agora que todos sabem que ele é um bandido ladrão desgraçado. Conforme pesquisas em 2018 o presidente é o Haddad, a nem que preguiça dessa Raquel viu.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Não adianta gostar desse padre e a sua confissão com ele não valer nada! 

Bom, talvez você goste dele justamente por isso, ele não tem poder contra bruxas!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Que nojo. Ainda bem que o tempo do cinismo tá acabando nesse país. Graças a Deus e ao povo brasileiro. Tchau, querida!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Participou do golpe e quer ser vestal? Acabou bruxa.nao chega nem perto.,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Já agradeceram hoje a Deus por essa louca não ter aceitado ser vice presidente?,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Sai daí sua maluca vai ser varrida da vida pública,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Miriam porca!!!! Esquerdista, militante acabaram as mordomias para ela e muitos outros. Dia 02/10 eles irão ver e terão que anunciar""BOLSONARO REELEITO"" MAS.....",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Pelo amor de Deus mulher,deixe de ser idiota!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Não acreditamos nessas pesquisas mentirosas tendenciosas sujas compradas https://t.co/5mzi5gFeBw,NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil O Loola está emprestando a garrafinha de água dele para você beber?
Tá louca ela não será nunca mais presidente dessa nação!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Todo terra planista gosta de avacalhar tudo dizem ser sérios mais não passam de patetas,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Vc cavou esse buraco, agora sufoque nele. Não tá com medo de ir pro inferno pelo falso q levantou contra Dilma não?
Vem julgamento de Deus por aí, viu",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil “Dá nojo. Esses gays e lésbicas querem que nós a maioria entubemos como exemplo de comportamento a sua promiscuidade… Nós não podemos nos submeter aos escárnio da sociedade”,NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Se você gosta até no milic@,não ia gostar do fake. Conta uma nova que essa tá velha.",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Eu também!

Se eu não fosse uma girassol, robô, bolsominion e q adora o gov. Bolsonaro, votava no Padre 😅

#BolsonaroNoPrimeiroTurno",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Pensa  que eu  chorei com o golpe na DILMA, com a prisão injusta do LULA e com a derrota do Haddad,

chorar com LULA PRESIDENTE amanhã, será uma  lavagem na minha e na sua alma.
Dias melhores para sempre! 
L  @LulaOficial ! https://t.co/cxDDUfsr4Y",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Mulher, leia sempre os seus tweets e entenda, de uma vez por todas, o porquê a Sra é um fracasso!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Para dr faler merda fia.,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Pra mim vc tá fazendo jogo pra ver se sobra uma boquinha caso o bebum se eleja . Você vai conforme o vento,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Claro. Minha aversão a Bolsonaro não significa que darei meu voto a um porco corrupto como Lula e quejandos. Jamais. Voto em Tebet, e, no 2º turno, embarco para Saturno.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil É louca!,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil E a vergonha, o Orçamento Secreto, a senhora como Jurista não consegue fazer nada?",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Doutora, eu votei em você, mas creio que o povo optou pelo astronauta como forma de combater o comunista. Tenho certeza que você seria importantíssima no encaminhamento de um necessário impeachment de determinado(s) ministro(s) do STF. Mas creio que seu apoio ao Bozo É importante",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil A senhora é mais louca q ele né...,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil 222 Marcos Pontes
O resto é apoiador do ladrão",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@MouraRisso @Yasannyaminnye @JanainaDoBrasil O papagaio de miliciano acreditou em mais uma imbecilidade kkkkkkkkk

Kit gay
Pandemia não existiu
Vacina causa AIDS e n funciona
Cloroquina
Terra plana
Máscara não funciona
Corrupção acabou 
Lula vai fechar igreja
N sabia da corrupção no MEC
Fraude nas urnas kkkkkkkk",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@MFCarletti @ar_adriano @JanainaDoBrasil Meu filho vc não sabe lê? Eu falei ele não é bispo, ok. E daí importante que ele estava lá e falou tudo que desejamos falar a muito tempo para o ladrão. E para de tentar me agredir kkkk pq não está conseguindo não. Mas aprenda ler ok.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Onde mesmo que a constituição está sendo cumprida?
Quantos atos inconstitucionais mais os queridos Senadores vão esperar para agirem? Alternativas:
A) medo porque devem 
B) covardes
C) cúmplices dos crimes 
Qual será a alternativa correta?",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Sua referência bate, você gosta de Bolsonaro.
Tem que ser tarja preta pra tratar isso.",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Vai perder, sua maluca. Vai voltar para o anonimato sua desequilibrada. Que volte para o esgoto e suma!!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Bolsonaro é o melhor presidente da história brasileira está encomodando todo o sistema corrupto da justiça e da  imprensa marron  do Brasil .,NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@MireleNogueira3 @ar_adriano @JanainaDoBrasil burra por não ler e não pesquisar,  mau caráter por espalhar fake News e otária por se sujeitar a esse ridículo por alguém tão insignificante. https://t.co/0GBfvrmbp3",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@gslopes1967 @JanainaDoBrasil Na minha humilde opinião (de quem votou/fez campanha p/ a dita) ela está sendo desde que tomou posse (muito mais ainda nessa campanha) uma egocentrica. Me arrependo muito; me entristece mais a decepção com essa do que c/ o calcinha, a peppa e o dito major que já foi p/ o ""olimpo""",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Vc nao tem.moral pra falar nada. Vc é uma traidora do Presidente. Sempre guspindo no prato q comeu. TRAÍRA,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Concordo, é uma péssima ideia. Mas agora é hora de defender o Brasil, apoiando Bolsonaro.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Esse país n tem jeito. Tem q todo mundo se ferrar mesmo. Somos os mais idiotas do mundo. Vão rir da nossa cara, e tem q rir mesmo. É dolarizar o patrimonio e torcer pra q esta merda afunde, pra poder depois cobrar cada um q contribuiu pra afundar. Anti PT",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Leve ele com você  para o cafundó dos infernos.,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Uma coisa de cada vez deputada, o foco agora  é  conseguir uma base contra essa maldita esquerda.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@Alexand94582924 @JanainaDoBrasil Proposta idiota.... que é bem provável que aceite...mas se nada adianta...ela nunca vai ser eleita para um cargo federal...zumaia jungis,NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Pare de chorar! Eu te avisei.,NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@patyoto @IvanFelicianoc @achcarjr @JanainaDoBrasil Te mandei para o Haiti porque trata se de um paraíso  capitalista, vê só como tenho consideração por ti.
Infelizmente amanhã vais chorar muito, mas o pior vai ser quando o teu Mito se tornar hóspede da PAPUDA.",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Retrocesso maior seria o Bozo gsnhar de novo. Não sou Luladrão, mad Burronaro foi o pior presidente q p Brasil já teve ?",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Querida Jana, em 2018 votei em você, por este motivo, vou te dar uma dica.
Para de compartilhar UOL, veja, folha, etc.
Não é jornalismo, não tem credibilidade e vc só perde eleitor compartilhando está porcaria.
Votei no Astronauta este ano, gosto de vc.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Ninguém quer andar com vc, doida kkk",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Mas a senhora é a rainha dos doidos, ou melhor a doida mor!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Tudo que vc crítica, vai acontecer pela sua Arrogância, não atrapalhe quem pode vencer...típico de esquerdista... https://t.co/K4m46hkcVi",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Com todo respeito, mas vc é muito louca!

Sugiro acompanhamento especializado com urgência!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Amada, assuma sua INDEPENDÊNCIA e pare de choramingar, taokey?
#MarcosPontes222",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Inconstitucional foi soltarem o maior ladrão que a pátria amada Brasil já teve, depois dessa acho que pode tudo.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Estou vendo um seriado na Netflix.. vc pedindo desculpas pra Dilma, pelo ""certo"" que vc tava fazendo no impeachment dela. Imagino como deve tá sua cabeça, vendo que vc usou da sua boa fé pra ajudar corruptos que destruíram nosso país e deixaram os pobres mais pobres.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Cria vergonha !,NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Kkkkk ele não parece padre, até desmoralizou os padres reais... 
Misericórdia, vergonhoso o  padre ser cabo eleitoral do Bolsonaro..
Esqueceu até que era candidato, foi feio, triste, baixo, rasteiro... 😪🇧🇷",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@Flavio_Bottini @OGloboPolitica @JanainaDoBrasil A Esquerda está de volta em consequência da campanha bilionária mundial , iniciada com Lularapio livre , aparelhamento do Estado, instalação do sistema de espionagem e gravação da corrupção de políticos e de poderosos,que se tornaram reféns etc Um Plano, com princípio,meio e fim",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@viliton1 @cinthya_ramos @JanainaDoBrasil Esse “evento” só reforçou a minha confiança de que ANULAR meu voto para senador e governador é o melhor a ser feito… 
P/ PR talvez vote no fdp, mesmo ciente de q fui feito de trouxa.
Mudanças ocorrem através de pessoas, e para ocorrerem precisamos de gente séria na política!! https://t.co/i5c9pWWhjD",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil A senhora se esqueceu em que país está, Deputada? Neste lugar de fanáticos estúpidos não se pode esperar que pensem... Matam e morrem por corruptos como o atual e o ex. Fazer o quê?? Boa sorte pra senhora, continue coerente e correta.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"OHHHH @JanainaDoBrasil  ajuda aí né minha filha se decida, ou tu serve a Deus ou A Mamon os dois não dá. Sabemos muito bem que lula destruiu nosso país, então nosso voto ele não tem, como tu quer que confiem em vc com um POST desses, tu tá doida ? https://t.co/Cp94RQFKXR",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil To te lendo projeto de pepa, tá querendo uma boquinha em algum governo de esquerda né , vai q cola q né ! As pesquisas… 🤡",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@Callme_Cattle @daniele_twi @marcelomadu @JanainaDoBrasil @MPF_PGR Putz olha o nível da pessoa. E por essas e outras q percebi q imbecilidade do ódio petistas. Vou de Lula 13 mesmo,NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Janaína, talvez a ambição tenha anuviado sua avaliação de qual candidatura ter sido melhor para você nestas eleições de 2022. Se tivesse saído candidata à Câmara Federal estaria, com certeza, eleita sem muito esforço. Apenas utilizando seu capital político angariado na anterior !",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Embala que o filho é teu, maluca",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@WiniciusWm @JanainaDoBrasil Você é burro ou você é burro?
Ela está justamente explicando que a merda inconstitucional que você adula hoje pelo seu político de estimação, pode vir a morder o seu rabo amanhã quando rolar uma alternância de poder",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Que discurso de doida, resistência contra o mal? Contra o comunismo?

Seja mais clara!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Amada, quando vc usa o termo ""dois lados"" na sua frase, vc equipara falso-equivalentemente um caso de polícia, não-inocentado, q é aberração só em concorrer à presidência, com o Bolsonaro. É por essas declarações tuas, q vc amargou sem brilho no limbo do doloroso 4⁰ lugar.🤷",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Tá doida?,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Gente doida se atrai,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Por essas ideias idiotas que sempre vai ser uma estética na política,NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"Um voto só em mulheres.  Só assim para o país sair deste buraco, acabar com estes políticos corruptos,  e enxergar no horizonte uma luz de esperança. @simonetebetbr presidente 15, com @maragabrilli vice. @JanainaDoBrasil 287 a senadora de São Paulo, e @Loreny_ 7791 dep federal",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Quem defendeu o impeachment da DilmAntA não pode se neutralizar ou apoiar o Luladrão.
Seu trabalho e sua voz é importante para o futuro da nossa nação.
Converter votos CONTRA O CORRUPTO DE CARTEIRINHA é fundamental para parar um sistema devastador, cruel e sujo.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Bolsonaro se sai melhor no debate e o vitimismo  ou se achar a “onsa”, qdo se vê uma gatinha borralheira ñ leva a nada. P/ governar o Br se ñ for dura na queda se suicida, renúncia ou entra no esquema da corrupção logo em seguida. Vamos deixar o Bolsonaro + 4 anos p o bem do Br.",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Chora mais...chora mais....nao foi eleita.,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil louca. O STF rasgou a CF e vc caga pra isso.,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Que coisa ridícula.,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Tão suja quanto ai seu presidente vagabundo. https://t.co/FrybL5avg3,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Querida o momento exige mais que o debate de ideias, estamos a beira do caos.
Temos que nos unir pra mandar embora de vez esses bandidos comunistas e seu presidiário de estimação.
O momento é de relembrar o povo de memória, curta sobre quem de fato é Luiz Inácio Lula da Silva.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Janaina, a vida e feita de escolhas e você fez a suas, assistiu João doria trancar,soldar,fechar e prender pessoas, viu sp chorar sangue.
Lamento seu fim na política sua SENTENÇA foi DADA, 2 outubro 2022 ela será divulgada.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Desistir pode ser interpretado como um ato de coragem e lucidez! Não desista então.,NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Leva pra tua casa, vcs são gostam do que não presta. Vc é uma vergonha.",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Já esvaziou as gavetas? Vai acabar a mamata!,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@Leotitiu @priscilllando @JanainaDoBrasil E ladrão condenado  de estimação amigo de ditadores de estimação pode?,NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@milicianonopla1 @JanainaDoBrasil Cuidado em bajuladora de bandido saiu uma pesquisa Equilibrio Brasil que o seu ladrão esta atrás,portanto não confie muito nas pesquisas da Globo e como essa e outras nçao sei qual esta certa e no domingo a gente vai saber,agora votar no  ladrão é desonestidade.😒",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@GeiserRalf @jcvignatti_2 @JanainaDoBrasil Só o RJ que trocaria pelo Romário.  É o que temos para o momento. Em relação ao ES já estão armando para o Magno tb não assumir. Jogo sujo e covarde.,NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Janaina vc tem duas opção vai votar Pará Luladrão ou Bolsonaro ou vai ser covarde e anular seu voto 🗳 com birra, é a briga do mal contra o bem de que lado vc vai estar dá vingança ou ajudar salvar o país do comunismo mostrar que ama esse brasilzão de verdade e se eleger em 2026",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Janaína, Rainha do Mar, cala a boca e segue o fluxo! Pergunte ao Miguel Reale Júnior o que ele acha de tudo isso.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Menina, a coisa tá feia heim!!!! Aonde vc chegou!!! Padre que nem é padre, candidato quem nem é candidato!!!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Vai ficar sem mandato fdp,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JosLuizdias10 @JanainaDoBrasil Você não tem vergonha nessa cara  velha sua de falar uma besteira dessa?? Assuma que gosta de ladrão,  de traficante, que você sempre orientou seus filhos e netos que roubar é muito bom e compensa. Que os visita na penitenciária eventualmente. Que os orienta a abortar seus netos.",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil De nada adianta dizer isso após su teatro que levou o país rumo a essa catástrofe! Fica calada que tua participação nessa desgraça é gigantesca!,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Como é perder a mamata do nome Bolsonaro?🤡,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Vindo de vc , uma doida varrida. Não me surpreende!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@ticopers @ZinaltonAndrade @JanainaDoBrasil Mas ladrão tem de monte, e querem por o pior deles no comando desse país!",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil @você,marreco e a doida da goiabeira não vão estar lá.Pq Deus é pai.Oh Glória!!!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"E aí @JanainaDoBrasil  ficou chupando dedo é!
🤣🤣🤣🤣🤣🤣🤣🤣",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Deputada com todo respeito  a senhora não acha que pulou uma etapa ?

Deputada Estadual direto para senadora num ano que só  tem uma vaga em disputa. 

Obviamente  a senhora tem o direto  de concorrer ao cargo que quiser  porém desde o início  o quadro não  era favorável",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@Priscil04608081 @JanainaDoBrasil Eu trancaria a disciplina dessa maluca, pode apostar!",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil O sua ex bolsonarista imbecil, quem é voce sua energumina , eleita através do genocida vai procurar sua turma , sua trouxa",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@sm_carla_ @henriquefrank @VINICIUS_LOHRAN @JanainaDoBrasil Já separou o diploma de burra? 🥰🥰🥰 Guarda seu mimimi pro dia 2! kkkkk,SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@paulamirlla @cloves_godoi @JanainaDoBrasil Pelo comentário vc me parece sensata,sendo assim, pergunto :Lula é ladrão  ou não? Todos envolvidos na lava jato devolveram milhões roubados , deletaram e provaram que Lula também  recebeu milhões de R$ de corrupção.",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@WolfConservador Quem diria neh 🤔 a @JanainaDoBrasil que falou tanto do nosso Ministro @astro_pontes que vai ser nosso senador por SP, agora vê que estava com ela apoiando ladrão!!! Será que ela fez parte do plano ou foi enganada 🤔🤔🤔",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Dra Janaína....vc  acredita nessas pesquisas!??? Elas não são compradas pela velha imprensa....digo,... consórcio!!?",NÃO,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,"@JanainaDoBrasil Normal, afinal vc é tão ridícula quanto ele",SIM,Janaina Paschoal
Janaina Paschoal | Senado | São Paulo,@JanainaDoBrasil Cirurculando. Vaza. Tchau doida,SIM,Janaina Paschoal
