"candidata"|"ofensa"|"canddef"|"...4"|"contra ela"|"teor"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" o antagonista  claudioedantas    ignora o sentimento e a realidade da  maragabrilli  Farinha pouca  meu pirão primeiro  Não sei quem é pior    ou  LulaOficial  Porém    do partido de  MichelTemer que foi chamado de golpista  ódio puro   A cabo eleitoral do Lulaladrão  https   t co mh6RNrIDAE"|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"Que vergonha   maragabrilli   que VERGONHAâ€¼ï¸â€¼ï¸â€¼ï¸ https   t co dRZiCyULzb"|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Parabéns por encerrar a sua carreira com OMISSÃƒO e estimulando o voto em branco  São Paulo não te merece  O Brasil não te merece  Essa naóão não precisa de pessoas covardes como você "|"Mara Gabrilli"|NA|"sim"|"covarde"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli E suas denÃºncias    Serviram para quê    Para mostrar hoje que você sempre as usou para benefícios políticos próprios      Se você tivesse mesmo sede de justióa  não mostraria o quanto você é covarde com essas suas atitudes de hoje   "|"Mara Gabrilli"|NA|"sim"|"covarde"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"Vamos recordar       Mesmo diante dessa acusaóão da sua vice   maragabrilli para o descondenado você vai realmente apoiar ele   Diante de toda a corrupóão desse partido     https   t co ZQRmSUl3qi"|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    maragabrilli Que decepóão apoiar Lula    umladrão condenado  Um ladrão na politica  mata milhares de pessoas  roubando o dinheiro da saÃºde   educaóão  etc  meu voto você não leva mais "|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"   Sua vice  maragabrilli disse que Lula foi o mandante do assassinato do Celso Daniel  vc se esquivou da pergunta do Bolsonaro  ainda apoia o ladrão da naóão  Não podemos ter dÃºvidas que o MDB sabia de tudo ðŸ¤ ðŸ¤    BolsonaroPresidente22    LulaLadrao   LulaLadraoSeuLugarENaPrisao"|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    maragabrilli Lembre se  Se você é Bolsonarista  deve votar apenas em candidatos a Governador  Senador  Deputado Federal  Deputado Estadual comeóados com os nÃºmeros  22    10    11    e 14    O resto você ESQUECE    Nem que seja seu parente     PL 22  PP 10  Republicanos 11 e PTB 14 "|"Mara Gabrilli"|NA|"nao"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" sunny day2019  maragabrilli A pessoa em questão recebeu oróamento secreto      Afff moral zero   "|"Mara Gabrilli"|NA|"sim"|"moral"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Senadora  imagino que vc não iró apoiar o  Luladrao certo "|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Como sua eleitora não aceitarei apoio do PSDB e muito menos seu para o ex presidiório e o maior corrupto deste País  Seria o mesmo que dizer ao povo  que tudo o que você falou do PT foi bravata  Aguardarei seu posicionamento e do partido "|"Mara Gabrilli"|NA|"nao"|"discordancia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    LulaOficial Nos debates jó era notório sua preferência pelo corrupto e que é acusado pela sua vice de matar Celso Daniel   maragabrilli péssima escolha você fez "|"Mara Gabrilli"|NA|"sim"|"decisão"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Nas eleióões  os paulistas retribuirão o voto covarde em branco   Conheóo as suas obras  sei que você não é frio nem quente  Melhor seria que você fosse frio ou quente   Assim  porque você é morno  não é frio nem quente  estou a ponto de vomitó lo da minha boca   Apocalipse 3 15 16"|"Mara Gabrilli"|NA|"sim"|"nojo"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" draarielledias  joicehasselmann  maragabrilli  péssima     O outro era o Major Olímpio  mas esse se foi "|"Mara Gabrilli"|NA|"não dá pra saber"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli      Se voce apoia quem é contra a corrupóão  então porque vai deixar o lula isento     VOCE ó TOTALMENTE INCOERENTE         IGUALMENTE    https   t co 0FUcCzSzHS"|"Mara Gabrilli"|NA|"sim"|"incoerencia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" FlviaLeo16  josecar84484421  maragabrilli Essa é uma traidora mimizenta  Fora PSDB "|"Mara Gabrilli"|NA|"sim"|"traidora/mimimi"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" Ana Flor  GloboNews Não são mudos e surdos     ðŸ               Lulaladrão mandou matar Celso Daniel e senadora  maragabrilli  estrega tudo  Geraldo Alkimin era o governador e passou o pano  ðŸ               Deus tenha misericórdia do povo brasileiro  https   t co C5am3A26gb"|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" EdinaldoMarques  maragabrilli O VOTO é um DEVER e eu nunca tive dÃºvida disso  mas votar em candidatos corruptos é desejo individual equivocado  Sou cidadão brasileiro e tenho demonstrado anseios de mudanóas para melhorar a situaóão do país  Eu votarei     freire roberto  SF Moro  MulheresComMoro"|"Mara Gabrilli"|NA|"nao"|"apoio"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Então quer dizer que uma SENADORA DA REPÃšBLICA  eleita através de votos  declara  COVARDEMENTE  que vai votar em branco     ó isso mesmo  COVARDE     E depois  na próxima eleióão   Vai pedir votos em branco pra vc também  COVARDE     Assuma de uma vez que é esquerdalha   "|"Mara Gabrilli"|NA|"sim"|"esquerda"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Parabéns por seu belo exemplo    uma vergonha"|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Parabéns por cooperar com o desastre  Ficar neutra vai tirar qualquer possibilidade de reclamar algo no futuro  Vai ficar 4 anos caladinha "|"Mara Gabrilli"|NA|"sim"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" Paulapucca1  maragabrilli Vc é um FDP  Lula  Vc não foi inocentado ladrao  Apenas um ministro que foi advogado do MST é que vcs do PT colocaram no STF  encontrou um subterfÃºgio p anular as condenaóões que teve por 2 juízes  ratificadas por 3 desembargadores e confirmadas por 6 ministros no STJ"|"Mara Gabrilli"|NA|"nao"|"lula"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" heytauat     maragabrilli não sujam suas carreiras apoiando um Ladrão condenado em todas as instÃ¢ncias deste país "|"Mara Gabrilli"|NA|"nao"|"discordancia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"Sra       2Âº turno estó aí  Passo pra lembrar que um dos candidatos é ladrão  foi condenado e preso  e sua vice   maragabrilli   o acusa de mandar matar Celso Daniel  e extorquir seu pai   Espero que coloque a mão na consciência quando for declarar apoio no 2Âº turno "|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli  maragabrilli   quem é neutro jó estó do lado do inimigo encardido luladrão corrupto larópio hipócrita enviesado esquerdista comuna esquerdopata manipulador mentiroso contumaz bandido condenado sem vírgula ou ponto final   "|"Mara Gabrilli"|NA|"nao"|"discordancia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli O tal do político e muito sujo sabe que o homem é o maior ladrão do mundo mesmo assim vai votar nele  interesses claro"|"Mara Gabrilli"|NA|"sim"|"sujeira"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Deputada Mara venho através dessa mensagem pedir  para a senhora com todo o meu respeito  que não  se alheia no segundo turno para a Presidência da RepÃºblica  com o Ladrão que tanto fez o nosso Brasil sofre  a senhora mesmo tem conhecimento do caso  Celso  por favorðŸ™"|"Mara Gabrilli"|NA|"nao"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" jpbmonnerat  victor somente  PetrosGon  caitomainier  maragabrilli Não defendo político se tiver fazendo merda que saia  E acho tanto bozó quanto lula horríveis  Não votei neles  Mas olha a narrativa   Ain sigilo   Olha aí o pt ðŸ   entende  Tipo bozó não pode mas sigilo no email do bessias pode   Ex  https   t co 4k5JY0thCy"|"Mara Gabrilli"|NA|"nao"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Vc é uma vergonha  Passou a vida toda falando sobre a arma que foi apontada para a cabeóa de seu pai e de como o PT extoquiu dinheiro dele e de como o ladrão de nove dedos  estava envolvido no assassinato do Ex prefeito Celso Daniel  E no momento que deveria tomar uma atitude "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli O PT combater a corrupóão  ðŸ¤ ¤ ¤  https   t co Ao2UE1I75i"|"Mara Gabrilli"|NA|"nao"|"lula"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" PSDBoficial     maragabrilli  tassojereissati O grande objetivo da Vasa Jato foi conseguido com facilidade  que foi livrar o Lula das justas condenaóões por corrupóão  Mas a desgraóa não parou aí  agora  querem tornó lo novamente presidente da repÃºblica  Onde vamos parar com tanta desgraóa  A esperanóa é  SimonePresidente15"|"Mara Gabrilli"|NA|"nao"|"lula"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Votar em você foi e esta sendo uma decepóão  você não esta ao lado dos Brasileiros  estó vergonhosamente sobre o muro  Uma pena que ainda tenha mais anos de mandato  Você é uma covarde "|"Mara Gabrilli"|NA|"sim"|"covarde"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    MichelTemer Senadoras  SimonePresidente15 e  maragabrilli são mulheres honestas e vão agir na Presidência da RepÃºblica de acordo com suas condutas iluminadas pelo dever de ser humano virtuoso  Elas vão fazer o que é certo em respeito Ã  moralidade  Ã  razão e Ã  verdade real fundamental "|"Mara Gabrilli"|NA|"nao"|"apoio"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"   Que vergonha esconder a denÃºncia da  maragabrilli pra defender o Ladrão   Que vergonha "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Que defende seus ideais combate a corrupóão daí tu vem falar em voto em Branco   TA DE SACANAGEM ó CLARO VOCÃŠS ACUA QUE SOMOS IDIOTAS  SO PARECEMOS TU VAI PRO FUNDO DO ESQUECIMENTO TRAIRA"|"Mara Gabrilli"|NA|"sim"|"traidora"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" otempo    Com a decadência da moralidade e o avanóo da corrupóão  estó tudo pronto para a destruióão da consciência dos cidadãos de bem e dos bons costumes  Foróa   SimonePresidente15 e  maragabrilli  com as Senhoras na Presidência da RepÃºblica os cidadãos voltam a ter esperanóa "|"Mara Gabrilli"|NA|"nao"|"apoio"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Só não morreu mais gnt  pq tinha uma pessoa armada ló que parou o louco  O nível de vcs é baixo demais  esse país é um grande hospício eu não consigo acreditar na burrice da pessoa que acha que alguém vai comprar uma arma legal para cometer um atentado  tem que ser MT burro"|"Mara Gabrilli"|NA|"nao"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" NatuzaNery  GloboNews ðŸ               Lulaladrão mandou matar Celso Daniel e senadora  maragabrilli  estrega tudo  Geraldo Alkimin era o governador e passou o pano  ðŸ               Deus tenha misericórdia do povo brasileiro ðŸ           https   t co ob1XgmSh6T"|"Mara Gabrilli"|NA|"nao"|"lula"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"   Vamos participar da luta pela verdade e contra a fome e a corrupóão  Vamos eleger as senadoras  SimonePresidente15 e  maragabrilli  que são compromissadas com a democracia representativa do povo brasileiro  Vote com sua consciência em candidatos honestos e dignos de confianóa "|"Mara Gabrilli"|NA|"nao"|"apoio"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli    Com a decadência da moralidade e o avanóo da corrupóão  estó tudo pronto para a destruióão da consciência dos cidadãos de bem e dos bons costumes  Foróa   SimonePresidente15 e  maragabrilli  com as Senhoras na Presidência da RepÃºblica os cidadãos voltam a ter esperanóa "|"Mara Gabrilli"|NA|"nao"|"apoio"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" silviana negra  maragabrilli Veja com seus próprios olhos  querida https   t co QhtxT0jWFN"|"Mara Gabrilli"|NA|"nao"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Depois de tudo que vc disse do Lula  Não se colocar contra ELE  Vc é uma vergonha ðŸ™ˆ"|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"numa hora dessas  joicehasselmann  SorayaThronicke    e  maragabrilli estão chorando no quentinho da cama chupando o dedo em posióão fetal  https   t co 5ezNXF4UId"|"Mara Gabrilli"|NA|"sim"|"fraqueza"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" FlviaLeo16  maragabrilli Realmente a inveja é uma merda    "|"Mara Gabrilli"|NA|"sim"|"inveja"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli   Afirmo que falta vergonha na sua cara   Decadente  https   t co lixdA5SX67"|"Mara Gabrilli"|NA|"sim"|"decadente"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    FHC A razão é a fonte de luz para o bom governante  porquanto todas as questões devem ser resolvidas com racionalidade  em harmonia com a moralidade   SimonePresidente15 e  maragabrilli sempre seguirão a rotina da razão para permanecer no caminho certo e fazer a coisa certa "|"Mara Gabrilli"|NA|"nao"|"apoio"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" UOLNoticias    ignora o sentimento e a realidade da  maragabrilli  Farinha pouca  meu pirão primeiro  Não sei quem é pior    ou  LulaOficial  Porém    do partido de  MichelTemer que foi chamado de golpista  ódio puro   A cabo eleitoral do Lulaladrão ðŸ   https   t co cCtbCSpO7h"|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" dorea abraao  toscano rhea     maragabrilli Vichi    se não faltar hipocrisia nesse livro até o ladrão de nove dedos estaró nele    e muitos outros governantes    HIPOCRISIA ó DEFENDER A VOLTA DE UMA QUADRILHA  CUJO O CHEFE ó  O LULA "|"Mara Gabrilli"|NA|"sim"|"hipocrisia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli    A soluóão contra essa bandalheira    Bolsonaro é a soluóão ðŸ  ðŸ   2ï¸âƒ 2ï¸âƒ   ðŸ   o mais amado mais popular e competente presidente da história do Brasil ðŸ  ðŸ  2ï¸âƒ 2ï¸âƒ â  o resto é mulambo da política do PT partido dos trapaceiros corruptos"|"Mara Gabrilli"|NA|"nao"|"lula"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Sua deficiência e de espírito  Nunca vou esquecer a falta de educaóão e arrogÃ¢ncia com que vc tratou o general Pazzuelo  Vc e pessoa pobre de espírito  Sua deficiência é moral   "|"Mara Gabrilli"|NA|"sim"|"capacitismo"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" Zambelli2210  maragabrilli olha isso aqui    essa burra tó distorcendo tudo sua fala "|"Mara Gabrilli"|NA|"nao"|"apoio"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Voto em branco ou nuto ou em comunista ou abster é o voto da covardia é como ter ógua pra apagar um incêndio q pode vir a se tornar gigantesco e não fazer nada e ficar olhando o mal acontecer  Mara  Amarga  ainda é tempo é tempo d ser socorrista    VotoProdutivo   VotoProtetivo"|"Mara Gabrilli"|NA|"sim"|"amarga"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" FlviaLeo16  maragabrilli Profundidade técnica  que merda é essa "|"Mara Gabrilli"|NA|"sim"|"incapacidade"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Resumindo vota no ladrão"|"Mara Gabrilli"|NA|"nao"|"discordancia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"â¬ ï¸  freire roberto  gleisi  CarlosLupiPDT  partidonovo30  randolfeap  BrunoAraujo456  maragabrilli orientem os candidatos de vcs a lembrarem durante o debate que Bolsonaro foi preso na época do exército e portanto não tem moral para falar que quem quer q seja tenha sido preso "|"Mara Gabrilli"|NA|"nao"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Construóão   Quem vota nulo não ajuda a construir nada  nem de um lado nem de outro  não põe tijolo em nenhuma parede  Te respeitaria mais se até apoiasse o Luladrão  mas votar nulo é muita covardia  Estó dando péssimo exemplo para as meninas que serão as futuras mulheres  Fraca "|"Mara Gabrilli"|NA|"sim"|"covardia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Mais uma vez   Em 2018 foi a mesma covarde "|"Mara Gabrilli"|NA|"sim"|"covardia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" CandyNavarro  maragabrilli Mais a Mara Gabrille concordou com a sua vice   vergonhoso de +++ a postura da Mara Gabrille ela no final ainda vai apoiar o ladrão e assassino"|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Vai entender a pessoa procura fazer parte da vida pÃºblica conta com voto das pessoas para ser senadora e ai fala uma coisa dessa não votar   meu é esses tipos de políticos que temos nesse Brasil covardes sem nenhuma responsabilidade que Deus abenóoe nossa naóão é nos livre disso"|"Mara Gabrilli"|NA|"sim"|"covardia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" folha    ignora o sentimento e a realidade da  maragabrilli  Farinha pouca  meu pirão primeiro  Não sei quem é pior    ou  LulaOficial  Porém    do partido de  MichelTemer que foi chamado de golpista  ódio puro   A cabo eleitoral do Lulaladrão ðŸ™ https   t co QFjv2h4Y3g"|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" Metropoles    ignora o sentimento e a realidade da  maragabrilli  Farinha pouca  meu pirão primeiro  Não sei quem é pior    ou  LulaOficial  Porém    do partido de  MichelTemer que foi chamado de golpista  ódio puro   A cabo eleitoral do Lulaladrão  https   t co BRS5bhh1fa"|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Votar em branco é o mesmo que apoiar o larópio  mas o pior é não assumir e se esconder atrós de uma falsa moralidade e lavar as mãos  Que eleitor vc representar "|"Mara Gabrilli"|NA|"sim"|"covardia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Tua omissão faró a democracia morrer teus projetos não terão futuro  o antagonismo estó em união pela democracia  para terem futuro  e tu vem com este mimimi  a    estó pensando na naóão e no futuro de cada brasileiro  lamentóvel tua atitude  Repense "|"Mara Gabrilli"|NA|"sim"|"omissão"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Ou seja  seguirei sendo uma idiota  confere "|"Mara Gabrilli"|NA|"sim"|"idiota"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Não votei em você pra ser omissa e covarde "|"Mara Gabrilli"|NA|"sim"|"covarde"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli O que a sra  defende não nos interessa  atitudes valem mais que palavras  inaceitóvel um político eleito por SP a omissão  SP não é terra de omissos e covardes "|"Mara Gabrilli"|NA|"sim"|"covarde"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"   tirou a voz da  maragabrilli pra defender o Lula  Vergonhosamente a mulher que se diz feminista minimizou a denÃºncia de sua vice pra proteger o macho ladrão de 9 dedos "|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Que vergonha  Praticamente apoiando voto no ladrão  "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" LulaOficial  geraldoalckmin Você tem lugar no inferno  Alckmin vai ter q  pedir muito perdão â€¦ DebatedaGlobo 1oAto   jairbolsonaro pergunta Ã     o que acha da denÃºncia da  Senadora  maragabrilli   sobre envolvimento de Lula no assassinato de Celso Daniel  TEBET  â€œEU ACREDITO NA MINHA VICEâ€"|"Mara Gabrilli"|NA|"
nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Ficar em lado nenhum é ficar ao lado do PT e da corrupóão  Os brasileiros não vão esquecer sua omissão  Se ele chegar o PT considere  se responsóvel pela destruióão da sua Pótria "|"Mara Gabrilli"|NA|"sim"|"omissão"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Como vc pode fazer isso    ó uma vergonha lavar as mãos frente a tudo o que vc tem dito nas entrevistas sobre o caso Celso Daniel  Vergonhosa a sua postura "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" silvasilveira10  maragabrilli Pergunta a Mara Gabrile ela sabe de tudo    mais é capaz dela fingir que não sabe e ainda apoiar o ladrão assassino"|"Mara Gabrilli"|NA|"sim"|"fingida"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" FriedrichChico  reumalho  maragabrilli ó a que pediu  por baixo dos panos  ajuda ao juiz ladrão "|"Mara Gabrilli"|NA|"sim"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    maragabrilli Péssima  Teve oportunidade de dar apoio Ã  vice e foi covarde  Nunca me representaró "|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"   que tal você falar pro eleitor sobre  maragabrilli  PSDB   candidata a vice presidente da sua chapa que recebeu R$ 19 milhões do oróamento secreto do Bolsonaro     Afinal foi você mesmo que definiu o oróamento secreto comoÂ â€œo maior esquema de corrupóão do mundo â€"|"Mara Gabrilli"|NA|"nao"|"denuncia politica"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" MFJSaraiva  maragabrilli Ela jó declarou apoio ao ladrão "|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" PSDBoficial     maragabrilli  SBTonline Uma mais fraca q a outra ðŸ¤¦ðŸ â€â™ ï¸âœ ï¸"|"Mara Gabrilli"|NA|"sim"|"incapacidade"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli vai lavar as mãos     depois não vem choramingar que os comunas dominaram "|"Mara Gabrilli"|NA|"sim"|"fraqueza"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" OpressorZV  maragabrilli      Vai fazer isso mesmo  Que vergonha "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" opropriodon  maragabrilli Eu não sei se ela vai explicar mas o Olavo jó tinha dito algo que explica bem essa situaóão  Ele dizia comunista não tem amigo  comunista tem idiotas Ãºteis usados pra alavancar a agenda revolucionória "|"Mara Gabrilli"|NA|"nao"|"discordancia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Ou seja  é Luladrão   "|"Mara Gabrilli"|NA|"nao"|"discordancia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Fala do Celso Daniel   Você tem uma obrigaóão moral  Com o Brasil   Não pode deixar o Pt voltar para a cena do crime     foralula"|"Mara Gabrilli"|NA|"nao"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    maragabrilli Espero  de coraóão  que vocês nos ajudem a impedir que o maior corrupto da história assuma a Presidência do nosso país e apoiem Bolsonaro no segundo turno "|"Mara Gabrilli"|NA|"nao"|"lula"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" folha ðŸ               Lulaladrão mandou matar Celso Daniel e senadora  maragabrilli  estrega tudo  Geraldo Alkimin era o governador e passou o pano  ðŸ               Deus tenha misericórdia do povo brasileiro  https   t co VnijTLfszm"|"Mara Gabrilli"|NA|"nao"|"lula"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" iaragb  maragabrilli Pois é  seró mais uma vendida  Pq a Simone se vendeu por um carguinho político  Bando de gente suja  No fim é Bolsonaro contra todo o sistema  Todos pensando em si  só Bolsonaro pensando no povo"|"Mara Gabrilli"|NA|"sim"|"suja"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Venha pedir voto novamente  o povo vai lembrar da tecla NULO  Cria vergonha na cara Tenha respeito em quem votou em vc  e no Brasil  Se é pra ter esse posicionamento fique de quieta  Vc seró construóão  Explique do que "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" PSDBoficial     maragabrilli  Poder360 Lula ladrão foi condenado e quer voltar Ã  cena do crime       Brasileiro honesto vota em Bolsonaro   Segundo o Excelentíssimo Sr  GILMAR MENDES STF  https   t co z8pnVoMoH5"|"Mara Gabrilli"|NA|"
nao"|"lula"
